"","ID","Year","Month","Lat","Lon","Depth","Catch_w","Catch_n","Catch_w_m","Catch_w_f","Tow_length_nm","Sample_size","Female","Male","Juvenile","Adult","Female2","Male2","Juvenile2","Adult2","Day","DOY"
"1","20011",2001,4,42.8747,-70.7338,19,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,23,113
"2","200110",2001,4,43.2783,-70.3802,31,8.75,26,3.75,5,0.62,26,10,16,0,26,10,16,0,26,25,115
"3","2001100",2001,5,44.4822,-67.3225,35,4.25,17,1.5,2.75,1.03,17,12,5,1,16,12,5,1,16,23,143
"4","2001101",2001,5,44.5894,-67.282,32.7,17.5,85,7.25,10.25,0.86,85,50,35,16,69,50,35,16,69,23,143
"5","2001102",2001,5,44.6051,-67.3563,17,12,38,6.75,5.25,0.81,38,18,20,0,38,18,20,0,38,23,143
"6","2001103",2001,5,44.5423,-67.5018,16.3,14.25,63,5.25,9,0.75,63,42,21,9,54,42,21,9,54,23,143
"7","2001104",2001,5,44.4251,-67.1332,54,2.7,2,1.1,1.6,0.77,2,1,1,0,2,1,1,0,2,24,144
"8","2001105",2001,5,44.405,-67.0638,71,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,24,144
"9","2001106",2001,5,44.6993,-67.0459,44.9,2.4,8,0.65,1.75,0.7,8,5,3,0,8,5,3,0,8,24,144
"10","2001107",2001,5,44.6618,-67.0857,45,7.5,27,3.5,4,0.96,27,12,15,0,27,12,15,0,27,24,144
"11","2001108",2001,5,44.7117,-66.9519,55.2,0.85,2,0,0.85,0.91,2,2,0,0,2,2,0,0,2,25,145
"12","2001109",2001,5,44.7537,-66.9333,47,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,25,145
"13","200111",2001,4,43.2494,-70.3459,47,14,40,9,5,0.67,40,16,24,0,40,16,24,0,40,25,115
"14","2001110",2001,5,44.7137,-67.0976,24.6,14.75,43,8.25,6.5,1.06,43,22,21,2,41,22,21,2,41,25,145
"15","2001111",2001,5,44.684,-67.1283,35.5,11.85,34,4.75,7.1,1.01,34,20,14,1,33,20,14,1,33,25,145
"16","200112",2001,4,43.2607,-70.5398,17,3.25,15,1.5,1.75,0.87,15,9,6,1,14,9,6,1,14,26,116
"17","200113",2001,4,43.2949,-70.4953,17,5.25,17,4,1.25,0.72,17,3,14,1,16,3,14,1,16,26,116
"18","200114",2001,4,43.4343,-70.3116,20.6,1.5,3,1,0.5,0.72,3,1,2,0,3,1,2,0,3,26,116
"19","200115",2001,4,43.456,-70.257,35,12.75,36,6.75,6,0.69,17,17,0,0,17,36,0,0,36,26,116
"20","200116",2001,4,43.3997,-70.1286,58.7,3,6,1.75,1.25,0.72,6,2,4,0,6,2,4,0,6,27,117
"21","200117",2001,4,43.3874,-70.2391,48.6,12.5,38,5,7.5,0.66,38,23,15,0,38,23,15,0,38,27,117
"22","200118",2001,4,43.4224,-70.2908,32,20.75,74,10,10.75,0.78,74,39,35,6,68,39,35,6,68,27,117
"23","200119",2001,4,43.4634,-70.2536,34,19,78,10,9,0.73,78,42,36,10,68,42,36,10,68,27,117
"24","20012",2001,4,42.8902,-70.6854,31.1,7.25,20,3.5,3.75,0.74,20,12,8,0,20,12,8,0,20,23,113
"25","200120",2001,4,43.5317,-70.2783,12,0.12,1,0,0.12,0.75,1,1,0,0,1,1,0,0,1,27,117
"26","200121",2001,4,43.5033,-70.2047,35,31.55,125,18.8,12.75,0.76,123,53,70,12,111,53.8617886178862,71.1382113821138,12.1951219512195,112.80487804878,27,117
"27","200122",2001,4,43.5279,-70.0179,54.7,5.75,11,4.25,1.5,0.77,11,3,8,0,11,3,8,0,11,30,120
"28","200123",2001,4,43.6585,-70.0847,20,10,42,4,6,0.84,42,25,17,14,28,25,17,14,28,30,120
"29","200124",2001,4,43.7266,-70.1596,6,3,6,1.5,1.5,0.94,6,2,4,2,4,2,4,2,4,30,120
"30","200125",2001,5,43.6669,-69.9737,29.3,71,326,36.5,34.5,0.78,326,169,157,86,240,169,157,86,240,1,121
"31","200126",2001,5,43.6901,-69.8886,13,5.75,13,3.75,2,0.7,13,5,8,1,12,5,8,1,12,1,121
"32","200127",2001,5,43.6668,-69.9112,24,48.85,208,21.5,27.35,0.91,208,118,90,43,165,118,90,43,165,1,121
"33","200128",2001,5,43.6025,-69.8713,45,7.75,20,4.25,3.5,0.76,20,7,13,2,18,7,13,2,18,1,121
"34","200129",2001,5,43.5808,-69.8088,55,2.75,1,0,2.75,0.79,1,1,0,0,1,1,0,0,1,1,121
"35","20013",2001,4,42.932,-70.7506,15,0.3,1,0.3,0,0.78,1,0,1,0,1,0,1,0,1,23,113
"36","200130",2001,5,43.6351,-69.7553,45,5.75,4,1.75,4,0.96,4,3,1,0,4,3,1,0,4,1,121
"37","200131",2001,5,43.6992,-69.7452,20,19.5,49,12.5,7,0.95,49,22,27,1,48,22,27,1,48,2,122
"38","200132",2001,5,43.6495,-69.8041,22,3.5,11,2.25,1.25,0.88,11,5,6,0,11,5,6,0,11,2,122
"39","200133",2001,5,43.5998,-69.7104,52.8,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,2,122
"40","200134",2001,5,43.7545,-69.6477,31,12.75,64,7.5,5.25,0.84,64,30,34,10,54,30,34,10,54,2,122
"41","200135",2001,5,43.8061,-69.6433,16.9,0.25,2,0,0.25,0.84,2,2,0,0,2,2,0,0,2,2,122
"42","200136",2001,5,43.9143,-69.447,10.7,11,65,5.5,5.5,0.91,65,37,28,9,56,37,28,9,56,3,123
"43","200137",2001,5,43.8217,-69.488,40,7.5,41,4,3.5,0.82,41,20,21,6,35,20,21,6,35,3,123
"44","200138",2001,5,43.8176,-69.451,34,8.75,32,4.25,4.5,0.75,32,17,15,0,32,17,15,0,32,3,123
"45","200139",2001,5,43.7488,-69.4735,46,0.5,3,0,0.5,0.87,3,3,0,0,3,3,0,0,3,3,123
"46","20014",2001,4,42.9899,-70.6442,12,1.4,2,0.3,1.1,0.8,2,1,1,0,2,1,1,0,2,23,113
"47","200140",2001,5,43.8579,-69.5279,14,6,28,3.5,2.5,0.86,28,13,15,1,27,13,15,1,27,3,123
"48","200141",2001,5,43.9053,-69.3391,12.7,19.5,36,9,10.5,0.8,36,23,13,7,29,23,13,7,29,4,124
"49","200142",2001,5,43.7644,-69.3909,48.1,5.45,12,3.45,2,0.87,12,6,6,0,12,6,6,0,12,4,124
"50","200143",2001,5,43.6774,-69.3777,61.8,1.25,1,0,1.25,0.65,1,1,0,0,1,1,0,0,1,4,124
"51","200144",2001,5,43.8005,-69.5445,32,13.5,98,7,6.5,0.8,98,52,46,35,63,52,46,35,63,4,124
"52","200145",2001,5,43.8856,-69.183,19.2,13.25,37,7,6.25,0.65,37,19,18,2,35,19,18,2,35,7,127
"53","200146",2001,5,43.9214,-69.1311,19,96.25,373,53.25,43,0.78,373,167,206,13,360,167,206,13,360,7,127
"54","200147",2001,5,43.8619,-69.0843,35.7,24.25,84,10,14.25,0.52,84,52,32,3,81,52,32,3,81,7,127
"55","200148",2001,5,43.8619,-69.0339,35.3,27.5,120,16,11.5,0.53,120,56,64,8,112,56,64,8,112,7,127
"56","200149",2001,5,44.1309,-68.967,39.3,9.5,12,6.5,3,0.82,12,7,5,0,12,7,5,0,12,8,128
"57","20015",2001,4,42.9601,-70.4636,54.5,2.75,3,0.45,2.3,0.78,3,2,1,0,3,2,1,0,3,24,114
"58","200150",2001,5,44.223,-68.9207,25.9,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,8,128
"59","200151",2001,5,44.2895,-68.8848,20,0.2,1,0,0.2,0.89,1,1,0,0,1,1,0,0,1,8,128
"60","200152",2001,5,44.3293,-68.8605,16,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,8,128
"61","200153",2001,5,44.2329,-68.9854,25,1.5,3,1.5,0,0.83,3,0,3,0,3,0,3,0,3,8,128
"62","200154",2001,5,44.1854,-68.991,34.6,0.6,2,0.35,0.25,0.86,2,1,1,0,2,1,1,0,2,8,128
"63","200155",2001,5,43.5817,-69.0914,78.9,0.75,1,0.75,0,0.65,1,0,1,0,1,0,1,0,1,9,129
"64","200156",2001,5,43.6156,-68.937,73.6,0.75,1,0,0.75,0.87,1,1,0,0,1,1,0,0,1,9,129
"65","200157",2001,5,43.9325,-68.865,50,8,14,5.75,2.25,0.83,14,6,8,0,14,6,8,0,14,10,130
"66","200158",2001,5,43.9789,-68.71,42.3,5.25,12,2.75,2.5,0.65,12,6,6,0,12,6,6,0,12,10,130
"67","200159",2001,5,44.1116,-68.7837,13.2,27.75,85,16.25,11.5,0.78,85,45,40,1,84,45,40,1,84,10,130
"68","20016",2001,4,42.9595,-70.5217,46,13.25,20,8.25,5,0.76,20,6,14,0,20,6,14,0,20,24,114
"69","200160",2001,5,44.2554,-68.7942,14,0.7,1,0.7,0,0.77,1,0,1,0,1,0,1,0,1,10,130
"70","200161",2001,5,44.13,-68.7464,33.6,90.75,297,48.25,42.5,0.87,297,150,147,12,285,150,147,12,285,10,130
"71","200162",2001,5,43.7727,-68.7237,59.1,2.85,5,0.6,2.25,0.89,5,4,1,0,5,4,1,0,5,11,131
"72","200163",2001,5,43.8965,-68.6694,51.8,11.83,23,5.7,6.1,0.82,3,2,1,0,3,15.3333333333333,7.66666666666667,0,23,11,131
"73","200164",2001,5,43.9133,-68.7531,52.1,8.25,13,4,4.25,0.88,13,9,4,0,13,9,4,0,13,14,134
"74","200165",2001,5,43.9104,-68.6221,49.5,6.25,4,5.25,1,0.83,4,1,3,0,4,1,3,0,4,14,134
"75","200166",2001,5,43.9186,-68.6456,51.4,7.75,6,3.75,4,0.85,6,5,1,0,6,5,1,0,6,14,134
"76","200167",2001,5,44.001,-68.4697,47,7.75,5,5.5,2.25,0.79,5,3,2,0,5,3,2,0,5,14,134
"77","200168",2001,5,44.1307,-68.4829,13,44.25,150,26.75,17.5,0.6,151,63,88,3,148,62.5827814569536,87.4172185430464,2.98013245033113,147.019867549669,14,134
"78","200169",2001,5,44.1675,-68.5296,16.6,58,198,37,21,0.61,198,78,120,8,190,78,120,8,190,15,135
"79","20017",2001,4,43.1839,-70.4241,37,8.25,22,4.5,3.75,0.63,22,10,12,1,21,10,12,1,21,25,115
"80","200170",2001,5,44.0224,-68.394,45.3,3.25,4,2.5,0.75,0.8,4,1,3,0,4,1,3,0,4,15,135
"81","200171",2001,5,43.9917,-68.4197,47.1,1.5,1,0,1.5,0.83,1,1,0,0,1,1,0,0,1,15,135
