,trawl_id,female_catch,male_catch,fall_catch,spring_catch,juvenile_catch,adult_catch,year,season,total_catch,stratum,station,lon,lat,temperature_b,depth,sediment
1,198291.1,2,5,NA,7,2,5,1982,SPRING,7,9260,1,-70.428333,41.771,5.4,17,sd
2,198291.1,NA,1,NA,1,NA,1,1982,SPRING,1,9280,10,-70.531833,41.999,4.5,31,sd
3,198291.11,7,8,NA,15,4,11,1982,SPRING,15,9260,11,-70.581,41.965167,7,12,sd
4,198291.12,29,25,NA,54,15,39,1982,SPRING,54,9320,12,-70.849667,42.2935,7.9,13,sd
5,198291.13,7,6,NA,13,3,10,1982,SPRING,13,9310,13,-70.913833,42.451,7,6,sd
6,198291.14,3,2,NA,5,NA,5,1982,SPRING,5,9330,14,-70.879167,42.440167,6,22,sd
7,198291.15,NA,2,NA,2,NA,2,1982,SPRING,2,9340,15,-70.765,42.482167,4.9,36,br
8,198291.16,1,2,NA,3,NA,3,1982,SPRING,3,9350,16,-70.736167,42.486167,5.2,43,sd
9,198291.17,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9350,17,-70.722,42.505,5.1,42,sd
10,198291.18,1,NA,NA,1,NA,1,1982,SPRING,1,9340,18,-70.730667,42.544,5.5,31,br
11,198291.19,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9360,19,-70.5265,42.6315,5.5,62,sd
12,198291.2,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9270,2,-70.349833,41.782667,5.7,21,sd
13,198291.2,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9360,20,-70.592833,42.725833,3.9,58,sd-cl/st
14,198291.21,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9330,21,-70.669833,42.697,5,21,sd
15,198291.22,5,11,NA,16,NA,16,1982,SPRING,16,9310,22,-70.681,42.6705,6.8,7,sd
16,198291.23,1,1,NA,2,NA,2,1982,SPRING,2,9320,23,-70.741667,42.720167,4.7,15,sd
17,198291.24,6,12,NA,18,2,16,1982,SPRING,18,9310,24,-70.792833,42.7825,7.5,6,sd
18,198291.25,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9330,25,-70.764667,42.789667,4.3,22,sd
19,198291.26,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9340,26,-70.676667,42.719167,3.6,30,sd
20,198291.27,1,3,NA,4,NA,4,1982,SPRING,4,9350,27,-70.590833,42.577333,4.6,45,sd/st/cl
21,198291.28,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9350,28,-70.6645,42.533833,4.6,47,sd
22,198291.29,NA,1,NA,1,NA,1,1982,SPRING,1,9360,29,-70.622667,42.492667,4.6,66,sd-cl/st
23,198291.3,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9260,3,-70.326833,41.755333,5.7,16,sd
24,198291.3,NA,1,NA,1,NA,1,1982,SPRING,1,9360,30,-70.633167,42.464667,3.2,74,sd-cl/st
25,198291.31,1,1,NA,2,NA,2,1982,SPRING,2,9350,31,-70.693,42.367667,3.8,49,sd/st/cl
26,198291.32,1,1,NA,2,NA,2,1982,SPRING,2,9270,32,-70.571833,42.095,5,23,sd
27,198291.33,NA,1,NA,1,NA,1,1982,SPRING,1,9290,33,-70.4835,42.122333,3.7,45,sd
28,198291.34,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9300,34,-70.370833,42.072167,5.4,54,sd-cl/st
29,198291.35,1,1,NA,2,NA,2,1982,SPRING,2,9290,35,-70.436833,42.057833,3.7,46,cl-st/sd
30,198291.36,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9280,36,-70.4205,41.910833,4.3,37,sd/st/cl
31,198291.37,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9110,37,-70.752667,41.63,10.4,7,sd
32,198291.38,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9110,38,-70.798333,41.600833,11.3,6,sd
33,198291.39,1,2,NA,3,NA,3,1982,SPRING,3,9120,39,-70.798333,41.539,9.7,12,sd-cl/st
34,198291.4,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9260,4,-70.164833,41.8535,6.7,13,cl-st/sd
35,198291.4,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9290,40,-70.2995,41.955,5.5,38,sd-cl/st
36,198291.41,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9280,41,-70.2005,41.961833,5.5,29,sd-cl/st
37,198291.42,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9260,42,-70.1095,41.955833,4.1,15,sd
38,198291.43,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9250,43,-70.103167,41.903833,6.9,6,sd
39,198291.44,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9270,44,-70.144167,41.918,6.1,21,sd/st/cl
40,198291.45,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9280,45,-70.213833,41.898833,5,29,sd/st/cl
41,198291.46,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9290,46,-70.272,42.003333,4.2,43,sd-cl/st
42,198291.47,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9300,47,-70.283333,42.089667,3.3,57,cl-st/sd
43,198291.48,NA,1,NA,1,NA,1,1982,SPRING,1,9210,48,-70.217833,42.0925,4.2,47,sd
44,198291.49,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9180,49,-70.1345,42.086,6.2,11,sd
45,198291.5,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9270,5,-70.216167,41.861833,5.6,24,cl-st/sd
46,198291.5,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9210,50,-70.0395,42.08,4.9,38,gr-sd
47,198291.51,1,NA,NA,1,NA,1,1982,SPRING,1,9200,51,-70.127833,42.097833,6.1,31,sd
48,198291.52,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9160,52,-70.587667,41.527333,10.1,10,sd
49,198291.53,NA,1,NA,1,NA,1,1982,SPRING,1,9150,53,-70.541333,41.54,12,7,sd
50,198291.54,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9150,54,-70.407167,41.559167,12,7,sd
51,198291.55,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9150,55,-70.346333,41.529167,12,6,sd
52,198291.56,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9160,56,-70.318333,41.549667,11.8,10,sd
53,198291.57,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9150,57,-70.29,41.5675,11.7,7,sd
54,198291.58,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9150,58,-70.167167,41.59,10.9,8,sd
55,198291.59,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9150,59,-70.098,41.624667,11.3,9,sd
56,198291.6,NA,1,NA,1,NA,1,1982,SPRING,1,9270,6,-70.334333,41.832,5.8,23,cl-st/sd
57,198291.6,NA,NA,NA,NA,NA,NA,1982,SPRING,NA,9150,60,-70.031167,41.614833,11,7,sd
